Registration Date,Participant Constituent ID,Participant Donor Status,Is Prior Participant,Is Team Captain,Team ID,Participation Type Name,Participant Gender,Age,Address  -  Participant ZIP/Postal Code,Please choose the closest affiliation you have ...,Facebook Fundraiser ID,Self Donor,Total of All Confirmed Gifts($),All Confirmed Gifts,Total From Participant($),Unique Donors,Recruited Participants Count,Emails Sent,Discount Code Used             
5/23/19,1250890,Donor,Yes,FALSE,,Run/Walk Registration - early bird,Female,53,71909-2845,Other,,FALSE,$0.00,0,$0.00,0,0,1,TRUE
5/28/19,1134392,Donor,N/A,TRUE,4768,Run/Walk Registration - early bird,Female,55,90064-4801,User Provided No Response,,FALSE,$600.00,2,$0.00,2,1,0,TRUE
5/28/19,1153795,Donor,N/A,TRUE,5038,Run/Walk Youth (11 & Under)  - early bird,Female,12,90064-3996,Other,,FALSE,$0.00,0,$0.00,0,0,0,TRUE
5/30/19,1153876,Donor,N/A,FALSE,,Run/Walk Registration - early bird,Female,47,90064-3996,I am a running enthusiast,,FALSE,$0.00,0,$0.00,0,0,0,TRUE
5/30/19,1261791,Unknown,Yes,FALSE,,Run/Walk Registration - early bird,Male,47,,Other,,FALSE,$0.00,0,$0.00,0,0,0,TRUE
6/1/19,1215360,Unknown,Yes,FALSE,,Run/Walk Registration - early bird,Male,58,90230-6164,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
6/1/19,1215361,Unknown,Yes,FALSE,,Run/Walk Registration - early bird,Female,50,90230-6164,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,0,0,0,
6/1/19,1055386,Unknown,Yes,FALSE,,Run/Walk Registration - early bird,Female,28,90230-6164,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,0,0,0,
6/1/19,1082252,Unknown,Yes,FALSE,,Run/Walk Registration - early bird,Male,21,90230-6164,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,0,0,0,
6/1/19,1215362,Unknown,Yes,FALSE,,Run/Walk Registration - early bird,Female,19,90230-6164,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,0,0,0,
6/2/19,1105316,Donor,Yes,TRUE,4779,Run/Walk Registration - early bird,Female,67,90077-2106,I lost a loved one to pancreatic cancer,,TRUE,"$1,800.00",5,"$1,000.00",5,0,174,
6/2/19,1126141,Donor,Yes,FALSE,4810,Run/Walk Registration - early bird,Male,79,89423-5208,Other,,TRUE,$200.00,2,$0.00,3,0,0,
6/2/19,1126140,Donor,Yes,TRUE,4810,Run/Walk Registration - early bird,Female,70,89423-5208,I have been diagnosed with pancreatic cancer,TRUE,TRUE,"$1,250.00",16,$460.00,10,0,3,
6/2/19,1126608,Unknown,Yes,FALSE,4810,Run/Walk Registration - early bird,Male,55,71964-9707,Other,,TRUE,$200.00,2,$0.00,3,0,0,
6/3/19,1018571,Donor,Yes,TRUE,4788,Run/Walk Registration - early bird,Female,43,92832-1026,I have a family member with pancreatic cancer,,TRUE,$422.00,6,$97.00,5,0,1,
6/3/19,1116289,Donor,Yes,TRUE,4810,Run/Walk Registration - early bird,Female,66,91791-2325,I have a family member with pancreatic cancer,TRUE,TRUE,"$1,561.00",21,$600.00,18,0,0,
6/3/19,1126116,Donor,Yes,FALSE,4810,Run/Walk Registration - early bird,Male,71,91791-2325,I have a family member with pancreatic cancer,,TRUE,$210.00,1,$0.00,1,0,0,
6/3/19,1139531,Indirect Donor,Yes,FALSE,4810,Run/Walk Registration - early bird,Male,35,91791-2325,I have a family member with pancreatic cancer,,TRUE,$100.00,1,$0.00,1,0,0,
6/3/19,1126117,Donor,Yes,FALSE,4810,Run/Walk Registration - early bird,Female,32,91791-2325,I have a family member with pancreatic cancer,,TRUE,$100.00,1,$0.00,1,0,0,
6/4/19,1091048,Donor,Yes,TRUE,4789,Run/Walk Registration - early bird,Male,39,33626-2511,I have lost someone to cancer,TRUE,TRUE,"$10,352.00",106,$197.00,94,4,1597,
6/4/19,1078226,Donor,Yes,TRUE,4790,Run/Walk Registration - early bird,Female,57,91343-1224,Other,,TRUE,$391.00,11,$0.00,12,0,0,
6/4/19,1153993,Donor,N/A,FALSE,4789,Virtual Walker/Runner,Male,62,95051-6767,Other,,TRUE,$10.00,1,$10.00,1,0,0,
6/4/19,1115950,Donor,Yes,FALSE,4789,Run/Walk Registration - early bird,Female,40,92603-0616,I have lost someone to cancer,,TRUE,$970.00,17,$138.00,17,0,142,
6/4/19,1140264,Donor,Yes,FALSE,,Run/Walk Registration - early bird,Female,31,90027-1816,I am a member of the medical community,,TRUE,$0.00,0,$0.00,1,0,0,
6/4/19,1113897,Donor,Yes,FALSE,4789,Run/Walk Registration - early bird,Female,54,93012-5145,I know someone with cancer,,TRUE,$0.00,0,$0.00,1,0,0,
6/7/19,1130065,Unknown,N/A,FALSE,4788,Run/Walk Registration - early bird,Male,44,91709-4557,,,TRUE,$0.00,0,$0.00,0,0,0,
6/7/19,1031547,Donor,Yes,FALSE,4788,Run/Walk Registration - early bird,Female,42,91709-4557,I lost a loved one to pancreatic cancer,,TRUE,$0.00,0,$0.00,1,0,0,
